hour,avg_return,std_return,bullish_pct,avg_range,avg_volume,count
0,-0.010112,0.067609,0.333333,1.420769,346.538462,78
1,0.005451,0.105098,0.504182,1.130643,357.42631,10042
2,0.001257,0.065293,0.499851,1.208287,545.737653,10063
3,9.1e-05,0.085931,0.503528,1.594067,899.80801,10063
4,0.001876,0.093708,0.513119,1.623308,1003.659511,10062
5,3.2e-05,0.063231,0.487975,1.215416,744.759889,10062
6,-0.000707,0.059561,0.482547,1.035691,599.466779,10084
7,0.001349,0.058383,0.502381,1.083358,634.868552,10080
8,0.002043,0.071551,0.509516,1.364026,814.770916,10087
9,-0.002795,0.087253,0.479198,1.721553,1137.399842,10119
10,-0.000619,0.099263,0.489032,1.915291,1348.10919,10120
11,-0.000574,0.08311,0.496195,1.665861,1151.836644,10119
12,-0.001986,0.081399,0.484238,1.581872,1073.781105,10119
13,-0.000281,0.078626,0.489526,1.551181,1002.186265,10120
14,0.000329,0.096069,0.5,1.898595,1231.941281,10116
15,0.000432,0.165989,0.497826,3.097953,2072.954932,10118
16,-0.003461,0.147533,0.487152,3.056204,2334.142222,10118
17,0.001723,0.151066,0.510035,2.953746,2341.073159,10115
18,0.001198,0.109927,0.500643,2.230724,1768.277871,10109
19,-0.00086,0.093439,0.489976,1.794307,1340.478265,10076
20,0.000368,0.094654,0.50071,1.789211,1263.198702,9864
21,-0.000361,0.101611,0.503066,1.687509,1065.173038,9784
22,-0.000382,0.077533,0.49683,1.447535,898.726324,9778
23,-0.000651,0.050994,0.479293,0.996029,334.670109,9103
