pattern,direction,occurrences,evaluated,horizon_bars,win_rate,avg_return_pct,avg_win_pct,avg_loss_pct,profit_factor,sharpe,t_stat,p_value,significant,expectancy_pips
doji,long,24589,24588,1,49.35,-0.0006,0.058195,-0.057885,0.98,-0.0061,-0.955,0.339375,False,-85.37
doji,long,24589,24588,3,49.58,-0.000989,0.101467,-0.101742,0.981,-0.0061,-0.961,0.336796,False,-140.64
doji,long,24589,24588,6,49.87,-0.001377,0.143346,-0.145325,0.981,-0.0061,-0.956,0.339286,False,-195.8
doji,long,24589,24588,12,50.6,0.00301,0.209773,-0.208757,1.029,0.0093,1.455,0.145669,False,428.1
hammer,long,6204,6204,1,48.79,-0.000537,0.058304,-0.056601,0.981,-0.0059,-0.463,0.643111,False,-76.08
hammer,long,6204,6204,3,49.97,0.002871,0.103278,-0.097407,1.059,0.0182,1.432,0.152157,False,406.4
hammer,long,6204,6204,6,50.24,0.000968,0.147059,-0.146544,1.013,0.0041,0.323,0.746535,False,136.97
hammer,long,6204,6204,12,51.35,-0.001175,0.206433,-0.22034,0.989,-0.0035,-0.277,0.782153,False,-166.38
shooting_star,short,5925,5925,1,48.03,-0.002017,0.060081,-0.059416,0.935,-0.0186,-1.431,0.152576,False,-284.53
shooting_star,short,5925,5925,3,48.46,-0.003425,0.103057,-0.103526,0.936,-0.02,-1.538,0.123995,False,-483.09
shooting_star,short,5925,5925,6,49.23,-0.003188,0.146472,-0.14832,0.958,-0.0132,-1.016,0.309535,False,-449.69
shooting_star,short,5925,5925,12,49.55,-0.005785,0.211016,-0.218741,0.948,-0.0169,-1.298,0.194372,False,-815.96
marubozu_bull,long,11982,11982,1,44.58,-0.002894,0.06558,-0.057982,0.91,-0.0293,-3.204,0.00136,True,-415.13
marubozu_bull,long,11982,11982,3,46.9,-0.002892,0.109269,-0.101938,0.947,-0.017,-1.857,0.063287,False,-414.79
marubozu_bull,long,11982,11982,6,48.26,-0.001169,0.153394,-0.145312,0.984,-0.005,-0.549,0.582882,False,-167.75
marubozu_bull,long,11982,11982,12,49.19,0.001523,0.216348,-0.206456,1.015,0.0047,0.512,0.608421,False,218.49
marubozu_bear,short,11915,11915,1,44.42,-0.002781,0.068766,-0.059969,0.917,-0.0261,-2.845,0.004449,True,-395.2
marubozu_bear,short,11915,11915,3,45.65,-0.002558,0.115378,-0.101609,0.954,-0.0145,-1.583,0.113559,False,-363.52
marubozu_bear,short,11915,11914,6,45.94,-0.003996,0.159696,-0.143087,0.948,-0.0164,-1.791,0.073398,False,-567.83
marubozu_bear,short,11915,11914,12,46.86,-0.007157,0.218181,-0.205871,0.935,-0.0217,-2.364,0.018102,True,-1017.04
large_bull,long,16632,16632,1,46.95,0.000809,0.081908,-0.070969,1.021,0.0064,0.824,0.410226,False,115.12
large_bull,long,16632,16632,3,47.61,0.000421,0.136025,-0.122826,1.007,0.002,0.262,0.793023,False,59.82
large_bull,long,16632,16632,6,48.3,0.001066,0.187046,-0.172674,1.012,0.0038,0.493,0.621964,False,151.56
large_bull,long,16632,16631,12,48.88,0.001048,0.249523,-0.236525,1.009,0.0028,0.363,0.716428,False,149.11
large_bear,short,16998,16998,1,46.12,-0.001413,0.085724,-0.076011,0.965,-0.0107,-1.397,0.162493,False,-201.77
large_bear,short,16998,16998,3,46.03,-0.003698,0.14399,-0.129653,0.947,-0.017,-2.214,0.026842,True,-527.86
large_bear,short,16998,16998,6,47.02,-0.003818,0.197567,-0.182572,0.961,-0.0128,-1.671,0.094809,False,-545.09
large_bear,short,16998,16998,12,47.92,-0.000324,0.2658,-0.245166,0.997,-0.0008,-0.107,0.91511,False,-46.28
bullish_engulfing,long,18825,18825,1,47.12,-0.000342,0.060404,-0.054479,0.988,-0.0036,-0.501,0.616556,False,-48.97
bullish_engulfing,long,18825,18825,3,48.05,-0.000481,0.104828,-0.097896,0.991,-0.0029,-0.404,0.685983,False,-68.82
bullish_engulfing,long,18825,18825,6,49.12,0.000472,0.150009,-0.143866,1.006,0.002,0.276,0.782475,False,67.62
bullish_engulfing,long,18825,18824,12,50.02,0.003075,0.214667,-0.208652,1.029,0.0092,1.257,0.208873,False,440.35
bearish_engulfing,short,18761,18761,1,47.58,-0.000102,0.062201,-0.056646,0.997,-0.0011,-0.148,0.882666,False,-14.61
bearish_engulfing,short,18761,18761,3,47.31,-0.002812,0.105374,-0.099955,0.947,-0.0173,-2.373,0.017631,True,-402.71
bearish_engulfing,short,18761,18761,6,48.03,-0.002646,0.150495,-0.144179,0.965,-0.0113,-1.547,0.121966,False,-378.9
bearish_engulfing,short,18761,18761,12,48.0,-0.006239,0.215063,-0.210505,0.943,-0.0189,-2.584,0.009765,True,-893.49
piercing,long,3723,3723,1,48.56,-0.000176,0.057717,-0.054834,0.994,-0.0021,-0.127,0.898642,False,-24.92
piercing,long,3723,3723,3,48.08,-0.005114,0.098893,-0.101427,0.903,-0.0323,-1.969,0.049024,True,-724.85
piercing,long,3723,3722,6,48.71,-0.007795,0.13913,-0.147331,0.897,-0.0348,-2.122,0.033927,True,-1104.71
piercing,long,3723,3721,12,48.91,-0.007356,0.203892,-0.209603,0.931,-0.0231,-1.407,0.159475,False,-1042.45
dark_cloud,short,3584,3584,1,48.63,-0.00075,0.060436,-0.05868,0.975,-0.0076,-0.453,0.650279,False,-106.58
dark_cloud,short,3584,3584,3,49.19,0.002034,0.107903,-0.100463,1.04,0.0123,0.734,0.463117,False,288.84
dark_cloud,short,3584,3584,6,48.07,0.00068,0.161426,-0.148147,1.009,0.0027,0.162,0.87166,False,96.51
dark_cloud,short,3584,3584,12,49.86,0.00269,0.221348,-0.214751,1.025,0.008,0.479,0.631777,False,382.1
morning_star,long,6286,6285,1,47.51,-0.000773,0.057989,-0.053959,0.973,-0.0085,-0.673,0.500869,False,-109.78
morning_star,long,6286,6285,3,48.69,-0.002626,0.097178,-0.097323,0.947,-0.0173,-1.373,0.169884,False,-372.99
morning_star,long,6286,6285,6,49.16,-0.005249,0.139116,-0.144869,0.929,-0.0239,-1.898,0.057789,False,-745.63
morning_star,long,6286,6285,12,49.91,-0.001748,0.204875,-0.20765,0.983,-0.0054,-0.431,0.66649,False,-248.37
evening_star,short,6306,6306,1,47.46,-0.000285,0.061472,-0.056078,0.99,-0.0029,-0.23,0.81826,False,-40.75
evening_star,short,6306,6306,3,48.33,-0.001359,0.104767,-0.100644,0.974,-0.0083,-0.657,0.511274,False,-194.09
evening_star,short,6306,6306,6,49.78,0.002599,0.152564,-0.146039,1.035,0.0107,0.848,0.396263,False,371.25
evening_star,short,6306,6306,12,48.64,-0.000709,0.222935,-0.212478,0.993,-0.002,-0.163,0.870816,False,-101.32
three_white_soldiers,long,4227,4227,1,43.79,-0.002569,0.073792,-0.062058,0.926,-0.022,-1.433,0.151985,False,-370.8
three_white_soldiers,long,4227,4227,3,45.54,-0.002122,0.116967,-0.101708,0.962,-0.0117,-0.76,0.447525,False,-306.29
three_white_soldiers,long,4227,4227,6,46.75,-0.002708,0.16313,-0.148287,0.966,-0.0108,-0.704,0.481293,False,-390.91
three_white_soldiers,long,4227,4227,12,47.1,-0.005551,0.221381,-0.207619,0.949,-0.0167,-1.085,0.277807,False,-801.27
three_black_crows,short,4060,4060,1,40.25,-0.011824,0.073011,-0.068964,0.713,-0.1062,-6.769,0.0,True,-1671.82
three_black_crows,short,4060,4060,3,40.0,-0.019245,0.116329,-0.109627,0.707,-0.1113,-7.093,0.0,True,-2720.97
three_black_crows,short,4060,4060,6,42.59,-0.017293,0.16471,-0.152292,0.802,-0.0701,-4.466,8e-06,True,-2445.01
three_black_crows,short,4060,4060,12,44.66,-0.026498,0.217667,-0.223503,0.786,-0.079,-5.037,0.0,True,-3746.45
golden_cross,long,5273,5273,1,45.53,-0.000526,0.068418,-0.058162,0.983,-0.0051,-0.368,0.712954,False,-74.97
golden_cross,long,5273,5273,3,46.73,-0.00283,0.115998,-0.107064,0.95,-0.0157,-1.143,0.253271,False,-403.71
golden_cross,long,5273,5273,6,47.37,-0.003084,0.159701,-0.149619,0.961,-0.0126,-0.913,0.361221,False,-439.93
golden_cross,long,5273,5273,12,48.8,-0.001502,0.223625,-0.21604,0.986,-0.0044,-0.318,0.750668,False,-214.27
death_cross,short,5273,5273,1,45.78,-0.002277,0.068328,-0.061893,0.932,-0.0212,-1.539,0.123974,False,-324.87
death_cross,short,5273,5273,3,46.54,-0.001223,0.118214,-0.105196,0.978,-0.0067,-0.486,0.626688,False,-174.53
death_cross,short,5273,5273,6,46.94,-0.004143,0.160576,-0.149847,0.948,-0.017,-1.233,0.217701,False,-590.98
death_cross,short,5273,5273,12,48.36,-0.005259,0.215986,-0.212448,0.952,-0.0159,-1.156,0.24754,False,-750.28
strong_uptrend,long,67184,67181,1,47.62,0.000134,0.063272,-0.057275,1.004,0.0014,0.355,0.722823,False,19.35
strong_uptrend,long,67184,67181,3,47.86,0.001464,0.110087,-0.098238,1.029,0.0089,2.317,0.020516,True,211.53
strong_uptrend,long,67184,67178,6,48.12,0.003986,0.157937,-0.138799,1.055,0.0174,4.52,6e-06,True,575.92
strong_uptrend,long,67184,67172,12,48.64,0.007913,0.226608,-0.19917,1.077,0.0247,6.403,0.0,True,1143.37
strong_downtrend,short,63498,63498,1,47.24,-0.000367,0.068893,-0.062374,0.989,-0.0034,-0.847,0.397117,False,-51.55
strong_downtrend,short,63498,63498,3,46.69,-0.000277,0.121658,-0.107082,0.995,-0.0015,-0.375,0.707437,False,-38.91
strong_downtrend,short,63498,63498,6,46.68,-4.8e-05,0.173559,-0.152056,0.999,-0.0002,-0.046,0.963009,False,-6.77
strong_downtrend,short,63498,63498,12,46.98,0.001597,0.24932,-0.217873,1.014,0.0043,1.085,0.277963,False,224.58
rsi_oversold_bounce,long,7149,7149,1,49.27,0.000273,0.060261,-0.057978,1.009,0.0028,0.241,0.80968,False,38.46
rsi_oversold_bounce,long,7149,7149,3,50.78,0.001443,0.104464,-0.104829,1.028,0.0083,0.699,0.48464,False,202.96
rsi_oversold_bounce,long,7149,7149,6,50.71,-0.000163,0.149879,-0.154505,0.998,-0.0007,-0.056,0.955215,False,-22.97
rsi_oversold_bounce,long,7149,7149,12,51.42,0.000201,0.21602,-0.228234,1.002,0.0006,0.049,0.96127,False,28.25
rsi_overbought_reversal,short,7504,7503,1,49.07,-0.00161,0.057745,-0.058806,0.946,-0.0169,-1.464,0.143115,False,-230.04
rsi_overbought_reversal,short,7504,7503,3,49.3,-0.003074,0.09853,-0.101873,0.94,-0.0196,-1.699,0.089314,False,-439.23
rsi_overbought_reversal,short,7504,7503,6,49.29,-0.007561,0.139157,-0.150153,0.901,-0.0329,-2.853,0.004346,True,-1080.41
rsi_overbought_reversal,short,7504,7502,12,49.16,-0.012605,0.200777,-0.218937,0.887,-0.0387,-3.348,0.000817,True,-1801.08
rsi_bullish_div,long,5296,5296,1,53.38,-0.000538,0.067041,-0.077915,0.985,-0.0041,-0.296,0.767144,False,-75.58
rsi_bullish_div,long,5296,5296,3,54.74,0.000704,0.11202,-0.133924,1.012,0.0033,0.244,0.807416,False,99.01
rsi_bullish_div,long,5296,5296,6,55.25,0.003711,0.154408,-0.182339,1.045,0.0141,1.024,0.305849,False,521.7
rsi_bullish_div,long,5296,5296,12,54.08,-0.001663,0.216612,-0.25871,0.986,-0.0046,-0.332,0.739626,False,-233.79
bb_squeeze,long,49372,49372,1,49.58,7.5e-05,0.046669,-0.045738,1.003,0.001,0.222,0.823992,False,10.6
bb_squeeze,long,49372,49372,3,49.9,0.00013,0.085196,-0.084605,1.003,0.001,0.214,0.830734,False,18.55
bb_squeeze,long,49372,49372,6,49.85,0.000632,0.125788,-0.123757,1.01,0.0032,0.72,0.471461,False,89.87
bb_squeeze,long,49372,49372,12,49.6,-0.00014,0.18582,-0.183156,0.998,-0.0005,-0.11,0.912237,False,-19.89
bb_lower_touch,long,31225,31225,1,52.89,0.000329,0.070604,-0.078578,1.009,0.0027,0.471,0.637538,False,46.73
bb_lower_touch,long,31225,31225,3,53.43,0.00143,0.118912,-0.133385,1.023,0.007,1.243,0.214056,False,202.89
bb_lower_touch,long,31225,31225,6,53.03,0.001485,0.164514,-0.182563,1.017,0.0054,0.958,0.337983,False,210.74
bb_lower_touch,long,31225,31225,12,52.27,0.001165,0.22872,-0.248024,1.01,0.0031,0.551,0.581596,False,165.41
bb_upper_touch,short,30459,30459,1,52.22,-0.000944,0.066287,-0.074435,0.973,-0.0082,-1.431,0.152458,False,-135.08
bb_upper_touch,short,30459,30459,3,52.34,-0.001284,0.11146,-0.125079,0.978,-0.0068,-1.192,0.233222,False,-183.75
bb_upper_touch,short,30459,30459,6,51.57,-0.003211,0.157713,-0.174554,0.962,-0.0124,-2.158,0.030932,True,-459.6
bb_upper_touch,short,30459,30459,12,51.06,-0.002943,0.218703,-0.234149,0.974,-0.0085,-1.483,0.138056,False,-421.26
macd_bull_cross,long,8952,8952,1,47.24,5e-06,0.064533,-0.057774,1.0,0.0001,0.005,0.996021,False,0.75
macd_bull_cross,long,8952,8952,3,48.51,-0.000927,0.109936,-0.105391,0.983,-0.0053,-0.499,0.618121,False,-132.16
macd_bull_cross,long,8952,8952,6,48.6,-0.00066,0.159887,-0.152483,0.992,-0.0026,-0.251,0.802182,False,-94.13
macd_bull_cross,long,8952,8952,12,49.54,0.001408,0.230528,-0.223553,1.012,0.0039,0.372,0.710201,False,200.83
