pattern,direction,occurrences,evaluated,horizon_bars,win_rate,avg_return_pct,avg_win_pct,avg_loss_pct,profit_factor,sharpe,t_stat,p_value,significant,expectancy_pips
marubozu_bull,long,11982,11982,1,44.58,-0.002894,0.06558,-0.057982,0.91,-0.0293,-3.204,0.00136,True,-415.13
marubozu_bear,short,11915,11915,1,44.42,-0.002781,0.068766,-0.059969,0.917,-0.0261,-2.845,0.004449,True,-395.2
marubozu_bear,short,11915,11914,12,46.86,-0.007157,0.218181,-0.205871,0.935,-0.0217,-2.364,0.018102,True,-1017.04
large_bear,short,16998,16998,3,46.03,-0.003698,0.14399,-0.129653,0.947,-0.017,-2.214,0.026842,True,-527.86
bearish_engulfing,short,18761,18761,3,47.31,-0.002812,0.105374,-0.099955,0.947,-0.0173,-2.373,0.017631,True,-402.71
bearish_engulfing,short,18761,18761,12,48.0,-0.006239,0.215063,-0.210505,0.943,-0.0189,-2.584,0.009765,True,-893.49
piercing,long,3723,3723,3,48.08,-0.005114,0.098893,-0.101427,0.903,-0.0323,-1.969,0.049024,True,-724.85
piercing,long,3723,3722,6,48.71,-0.007795,0.13913,-0.147331,0.897,-0.0348,-2.122,0.033927,True,-1104.71
three_black_crows,short,4060,4060,1,40.25,-0.011824,0.073011,-0.068964,0.713,-0.1062,-6.769,0.0,True,-1671.82
three_black_crows,short,4060,4060,3,40.0,-0.019245,0.116329,-0.109627,0.707,-0.1113,-7.093,0.0,True,-2720.97
three_black_crows,short,4060,4060,6,42.59,-0.017293,0.16471,-0.152292,0.802,-0.0701,-4.466,8e-06,True,-2445.01
three_black_crows,short,4060,4060,12,44.66,-0.026498,0.217667,-0.223503,0.786,-0.079,-5.037,0.0,True,-3746.45
strong_uptrend,long,67184,67181,3,47.86,0.001464,0.110087,-0.098238,1.029,0.0089,2.317,0.020516,True,211.53
strong_uptrend,long,67184,67178,6,48.12,0.003986,0.157937,-0.138799,1.055,0.0174,4.52,6e-06,True,575.92
strong_uptrend,long,67184,67172,12,48.64,0.007913,0.226608,-0.19917,1.077,0.0247,6.403,0.0,True,1143.37
rsi_overbought_reversal,short,7504,7503,6,49.29,-0.007561,0.139157,-0.150153,0.901,-0.0329,-2.853,0.004346,True,-1080.41
rsi_overbought_reversal,short,7504,7502,12,49.16,-0.012605,0.200777,-0.218937,0.887,-0.0387,-3.348,0.000817,True,-1801.08
bb_upper_touch,short,30459,30459,6,51.57,-0.003211,0.157713,-0.174554,0.962,-0.0124,-2.158,0.030932,True,-459.6
stoch_oversold_cross,long,9152,9152,1,53.33,0.00245,0.059666,-0.062939,1.083,0.0238,2.28,0.022624,True,344.8
stoch_overbought_cross,short,10743,10741,12,49.44,-0.009882,0.194282,-0.209498,0.907,-0.0319,-3.306,0.000948,True,-1422.42
volume_spike_bull,long,7612,7612,3,49.57,0.00539,0.146255,-0.133053,1.08,0.0245,2.141,0.032279,True,767.66
volume_spike_bull,long,7612,7612,6,51.02,0.014452,0.198424,-0.177217,1.167,0.0495,4.322,1.6e-05,True,2058.43
volume_spike_bull,long,7612,7612,12,51.23,0.017238,0.256913,-0.234576,1.151,0.0448,3.909,9.3e-05,True,2455.16
volume_spike_bear,short,7653,7653,6,46.84,-0.010001,0.203017,-0.197727,0.905,-0.0322,-2.818,0.004846,True,-1423.8
volume_dryup,long,12258,12257,1,50.64,0.003702,0.04551,-0.039192,1.191,0.0471,5.219,0.0,True,528.21
volume_dryup,long,12258,12257,3,52.02,0.008271,0.084297,-0.074153,1.232,0.0596,6.6,0.0,True,1180.24
volume_dryup,long,12258,12257,6,51.52,0.009833,0.115925,-0.102918,1.197,0.0552,6.107,0.0,True,1403.08
volume_dryup,long,12258,12257,12,51.66,0.014221,0.175017,-0.157621,1.187,0.0564,6.246,0.0,True,2029.15
combo_bear_engulf_rsi_vol,short,341,341,3,43.11,-0.027675,0.111755,-0.133326,0.635,-0.15,-2.769,0.005924,True,-4004.33
combo_macd_stoch_bull,long,331,331,3,55.59,0.018917,0.108269,-0.092925,1.458,0.1225,2.228,0.026532,True,2639.73
combo_macd_stoch_bear,short,530,529,12,49.15,-0.020786,0.151747,-0.187546,0.782,-0.0857,-1.971,0.049289,True,-3054.13
combo_london_trend_bull,long,450,450,1,47.56,0.007887,0.061253,-0.040504,1.371,0.107,2.269,0.023756,True,1119.49
combo_london_trend_bear,short,380,380,12,53.68,0.047686,0.249693,-0.186459,1.552,0.149,2.904,0.003899,True,6753.29
combo_ny_momentum_bull,long,1929,1929,12,46.29,-0.036017,0.287287,-0.314695,0.787,-0.0838,-3.68,0.00024,True,-5118.01
combo_bb_squeeze_bull,long,3371,3371,1,50.31,0.00343,0.063879,-0.057776,1.119,0.0356,2.067,0.038773,True,494.78
combo_bb_squeeze_bull,long,3371,3371,3,51.47,0.006126,0.10727,-0.101139,1.125,0.0389,2.261,0.023808,True,883.49
combo_bb_squeeze_bull,long,3371,3371,6,51.02,0.009287,0.153818,-0.141284,1.134,0.0429,2.488,0.012881,True,1339.49
combo_bb_squeeze_bear,short,3344,3344,3,47.31,-0.006047,0.11163,-0.111702,0.897,-0.0349,-2.02,0.043515,True,-873.94
combo_bb_squeeze_bear,short,3344,3344,6,47.43,-0.016687,0.143847,-0.161515,0.803,-0.0722,-4.178,3e-05,True,-2411.72
