entry_time,exit_time,type,entry,exit,pips,mfe,bars,exit_reason
2023-02-06 05:55:00,2023-02-06 07:25:00,BUY,1875.93,1876.09,16.0,246.0,18,TIME EXIT
2023-02-06 08:10:00,2023-02-06 08:30:00,BUY,1878.06,1876.66,-140.0,60.0,4,TIME EXIT
2023-02-06 08:50:00,2023-02-06 09:05:00,BUY,1877.92,1875.8,-212.0,0.0,3,TIME EXIT
2023-02-06 10:15:00,2023-02-06 10:35:00,BUY,1878.98,1879.03,5.0,38.0,4,TIME EXIT
2023-02-06 10:45:00,2023-02-06 11:00:00,BUY,1879.95,1878.16,-179.0,21.0,3,TIME EXIT
2023-02-06 12:05:00,2023-02-06 12:20:00,SELL,1871.9,1873.0,-110.0,0.0,3,TIME EXIT
2023-02-06 12:25:00,2023-02-06 12:40:00,SELL,1872.99,1873.13,-14.0,73.0,3,TIME EXIT
2023-02-06 12:55:00,2023-02-06 14:05:00,SELL,1872.63,1872.86,-23.0,438.0,14,TIME EXIT
2023-02-06 14:40:00,2023-02-06 14:55:00,BUY,1873.73,1872.33,-140.0,0.0,3,TIME EXIT
2023-02-06 16:35:00,2023-02-06 16:50:00,BUY,1873.69,1872.28,-141.0,39.0,3,TIME EXIT
2023-02-06 17:00:00,2023-02-06 17:10:00,BUY,1873.9,1870.37,-353.0,0.0,2,SL HIT
2023-02-06 17:45:00,2023-02-06 18:00:00,SELL,1865.98,1866.0,-2.0,15.0,3,TIME EXIT
2023-02-06 19:15:00,2023-02-06 19:35:00,SELL,1865.12,1865.44,-32.0,128.0,4,TIME EXIT
2023-02-06 19:45:00,2023-02-06 20:00:00,SELL,1864.94,1864.77,17.0,17.0,3,TIME EXIT
2023-02-06 20:05:00,2023-02-06 20:20:00,SELL,1864.76,1866.18,-142.0,0.0,3,TIME EXIT
2023-02-06 22:15:00,2023-02-06 22:30:00,SELL,1866.37,1866.29,8.0,8.0,3,TIME EXIT
2023-02-06 22:35:00,2023-02-06 22:50:00,SELL,1866.29,1868.84,-255.0,0.0,3,TIME EXIT
2023-02-07 01:55:00,2023-02-07 08:35:00,BUY,1868.33,1876.4,807.0,807.0,80,TARGET 3
2023-02-07 08:55:00,2023-02-07 09:10:00,BUY,1875.22,1873.22,-200.0,19.0,3,TIME EXIT
2023-02-07 11:05:00,2023-02-07 11:10:00,SELL,1871.55,1875.34,-379.0,0.0,1,SL HIT
2023-02-07 11:40:00,2023-02-07 11:55:00,BUY,1875.92,1873.42,-250.0,0.0,3,TIME EXIT
2023-02-07 12:50:00,2023-02-07 14:20:00,SELL,1872.35,1872.0,35.0,539.0,18,TRAIL L1 STOP
2023-02-07 18:20:00,2023-02-07 18:40:00,BUY,1876.37,1875.96,-41.0,144.0,4,TIME EXIT
2023-02-07 18:50:00,2023-02-07 19:05:00,BUY,1876.5,1873.5,-300.0,0.0,3,SL HIT
2023-02-07 20:00:00,2023-02-07 20:10:00,BUY,1880.58,1874.12,-646.0,0.0,2,SL HIT
2023-02-07 20:25:00,2023-02-07 21:15:00,SELL,1872.5,1872.79,-29.0,667.0,10,TIME EXIT
2023-02-07 21:25:00,2023-02-07 21:40:00,SELL,1871.56,1873.02,-146.0,0.0,3,TIME EXIT
2023-02-07 22:25:00,2023-02-07 22:40:00,SELL,1868.99,1870.06,-107.0,4.0,3,TIME EXIT
2023-02-07 23:00:00,2023-02-07 23:15:00,SELL,1870.18,1870.87,-69.0,19.0,3,TIME EXIT
2023-02-08 01:00:00,2023-02-08 01:15:00,BUY,1873.42,1872.62,-80.0,0.0,3,TIME EXIT
